,state,stateabb,year,binge_all,binge_male,binge_female,poverty
3346,Nebraska,NE,2017,False,False,False,True
3354,Florida,FL,2018,False,False,False,True
3367,District of Columbia,DC,2011,False,False,False,True
3375,Ohio,OH,2014,False,False,False,True
3387,Arizona,AZ,2016,False,False,False,True
3409,Connecticut,CT,2013,False,False,False,True
3424,Alabama,AL,2014,False,False,False,True
3436,North Dakota,ND,2017,False,False,False,True
3443,Colorado,CO,2013,False,False,False,True
3451,Pennsylvania,PA,2011,False,False,False,True
3461,Kentucky,KY,2014,False,False,False,True
3472,Delaware,DE,2017,False,False,False,True
3484,Hawaii,HI,2018,False,False,False,True
3487,South Dakota,SD,2014,False,False,False,True
3523,Tennessee,TN,2012,False,False,False,True
3557,Montana,MT,2018,False,False,False,True
3590,Maryland,MD,2015,False,False,False,True
3634,Iowa,IA,2014,False,False,False,True
3661,Tennessee,TN,2018,False,False,False,True
3665,Missouri,MO,2015,False,False,False,True
3682,United States,US,2014,False,False,False,True
3698,Maryland,MD,2011,False,False,False,True
3710,Alabama,AL,2014,False,False,False,True
3723,Arizona,AZ,2012,False,False,False,True
3739,North Carolina,NC,2012,False,False,False,True
3770,Rhode Island,RI,2015,False,False,False,True
3773,North Carolina,NC,2018,False,False,False,True
3778,Utah,UT,2014,False,False,False,True
3833,Minnesota,MN,2011,False,False,False,True
3847,Puerto Rico,PR,2014,False,False,False,True
3859,Wyoming,WY,2015,False,False,False,True
3898,Indiana,IN,2014,False,False,False,True
3906,Tennessee,TN,2015,False,False,False,True
3910,Wisconsin,WI,2011,False,False,False,True
3914,Nebraska,NE,2013,False,False,False,True
3926,New Jersey,NJ,2010,False,False,False,True
3928,Ohio,OH,2018,False,False,False,True
3940,Montana,MT,2016,False,False,False,True
3966,Ohio,OH,2010,False,False,False,True
3974,District of Columbia,DC,2015,False,False,False,True
3981,Louisiana,LA,2010,False,False,False,True
3995,New York,NY,2017,False,False,False,True
4006,Alaska,AK,2011,False,False,False,True
4025,Washington,WA,2011,False,False,False,True
4054,New Hampshire,NH,2015,False,False,False,True
4063,Michigan,MI,2018,False,False,False,True
4071,Colorado,CO,2010,False,False,False,True
4072,South Dakota,SD,2018,False,False,False,True
4103,Nebraska,NE,2017,False,False,False,True
4106,Illinois,IL,2012,False,False,False,True
4125,Kansas,KS,2015,False,False,False,True
4128,Wisconsin,WI,2010,False,False,False,True
4161,Montana,MT,2018,False,False,False,True
4169,Oregon,OR,2014,False,False,False,True
4194,Maryland,MD,2013,False,False,False,True
4207,Wyoming,WY,2013,False,False,False,True
4212,Arkansas,AR,2012,False,False,False,True
4243,Nevada,NV,2010,False,False,False,True
4266,Rhode Island,RI,2017,False,False,False,True
4268,Utah,UT,2012,False,False,False,True
4283,Delaware,DE,2015,False,False,False,True
4293,Connecticut,CT,2014,False,False,False,True
4304,South Carolina,SC,2015,False,False,False,True
4308,New York,NY,2018,False,False,False,True
4345,Missouri,MO,2012,False,False,False,True
4359,Illinois,IL,2017,False,False,False,True
4362,Montana,MT,2010,False,False,False,True
4396,Puerto Rico,PR,2016,False,False,False,True
4401,Louisiana,LA,2013,False,False,False,True
4459,United States,US,2015,False,False,False,True
4496,District of Columbia,DC,2014,False,False,False,True
4555,Oregon,OR,2015,False,False,False,True
4604,Florida,FL,2011,False,False,False,True
4640,Connecticut,CT,2010,False,False,False,True
4641,New Mexico,NM,2010,False,False,False,True
4648,Arizona,AZ,2015,False,False,False,True
4680,Minnesota,MN,2013,False,False,False,True
4692,North Dakota,ND,2014,False,False,False,True
4708,Wisconsin,WI,2014,False,False,False,True
4722,Arizona,AZ,2018,False,False,False,True
4727,New York,NY,2011,False,False,False,True
4737,Maine,ME,2018,False,False,False,True
4738,New Jersey,NJ,2013,False,False,False,True
4739,Alaska,AK,2014,False,False,False,True
4794,Montana,MT,2012,False,False,False,True
4811,Ohio,OH,2016,False,False,False,True
4817,Arizona,AZ,2010,False,False,False,True
4827,Georgia,GA,2016,False,False,False,True
